NOMBDEP,NOMBPROV,NOMBDIST,Clasificacion_Climatica
PUNO,LAMPA,PALCA,Lluvioso con humedad abundante todas las estaciones del a
PUNO,AZANGARO,SAMAN,Semiseco con oto o e invierno secos. Frso.
AREQUIPA,CAYLLOMA,SIBAYO,Lluvioso con humedad abundante todas las estaciones del a
PUNO,LAMPA,LAMPA,Semiseco con oto o e invierno secos. Frso.
PUNO,HUANCANE,ROSASPATA,Lluvioso con oto
CUSCO,ESPINAR,CONDOROMA,Lluvioso con humedad abundante todas las estaciones del a
PUNO,LAMPA,VILAVILA,Lluvioso con oto
PUNO,HUANCANE,HUANCANE,Semiseco con oto o e invierno secos. Frso.
PUNO,HUANCANE,VILQUE CHICO,Lluvioso con oto
PUNO,AZANGARO,CHUPA,Semiseco con oto o e invierno secos. Frso.
PUNO,LAMPA,OCUVIRI,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,LAURICOCHA,JIVIA,Lluvioso con oto
PUNO,AZANGARO,SANTIAGO DE PUPUJA,Semiseco con oto o e invierno secos. Frso.
AREQUIPA,CAYLLOMA,TISCO,Lluvioso con humedad abundante todas las estaciones del a
PUNO,AZANGARO,JOSE DOMINGO CHOQUEHUANCA,Lluvioso con oto
PUNO,HUANCANE,HUATASANI,Semiseco con oto o e invierno secos. Frso.
PUNO,AZANGARO,ARAPA,Semiseco con oto o e invierno secos. Frso.
PUNO,SAN ANTONIO DE PUTINA,ANANEA,Lluvioso con humedad abundante todas las estaciones del a
PUNO,AZANGARO,MUÑANI,Lluvioso con oto
PUNO,SAN ANTONIO DE PUTINA,PUTINA,Lluvioso con oto
CUSCO,CANAS,LAYO,Lluvioso con oto
CUSCO,CANAS,QUEHUE,Lluvioso con oto
CUSCO,CANCHIS,MARANGANI,Lluvioso con oto
PUNO,AZANGARO,POTONI,Lluvioso con oto
APURIMAC,GRAU,VIRUNDO,Lluvioso con oto
PUNO,MELGAR,SANTA ROSA,Lluvioso con oto
CUSCO,CANAS,KUNTURKANKI,Lluvioso con oto
CUSCO,CANAS,CHECCA,Lluvioso con oto
CUSCO,CHUMBIVILCAS,VELILLE,Lluvioso con oto
PUNO,AZANGARO,SAN ANTON,Lluvioso con oto
CUSCO,CANAS,LANGUI,Lluvioso con oto
CUSCO,CANCHIS,COMBAPATA,Lluvioso con oto
CUSCO,ACOMAYO,ACOPIA,Lluvioso con oto
PUNO,MELGAR,LLALLI,Lluvioso con oto
PUNO,AZANGARO,SAN JOSE,Lluvioso con oto
CUSCO,ESPINAR,COPORAQUE,Lluvioso con oto
PUNO,CARABAYA,CRUCERO,Lluvioso con oto
CUSCO,CANAS,YANAOCA,Lluvioso con oto
PUNO,MELGAR,ANTAUTA,Lluvioso con oto
CUSCO,CANCHIS,SICUANI,Lluvioso con oto
CUSCO,CHUMBIVILCAS,CHAMACA,Lluvioso con oto
CUSCO,CANAS,PAMPAMARCA,Lluvioso con oto
CUSCO,CANCHIS,PITUMARCA,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
CUSCO,ACOMAYO,SANGARARA,Lluvioso con oto
CUSCO,CANCHIS,CHECACUPE,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
CUSCO,QUISPICANCHI,CUSIPATA,Lluvioso con oto
PUNO,PUNO,PLATERIA,Lluvioso con oto
CUSCO,QUISPICANCHI,LUCRE,Lluvioso con oto
HUANCAVELICA,ACOBAMBA,PAUCARA,Lluvioso con oto
HUANCAVELICA,HUANCAVELICA,PALCA,Lluvioso con oto
HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,Lluvioso con oto
HUANCAVELICA,CASTROVIRREYNA,AURAHUA,Lluvioso con oto
JUNIN,YAULI,MARCAPOMACOCHA,Lluvioso con humedad abundante todas las estaciones del a
CUSCO,CUSCO,SAN SEBASTIAN,Lluvioso con oto
CUSCO,QUISPICANCHI,OROPESA,Semiseco con oto
HUANCAVELICA,HUANCAVELICA,MANTA,Lluvioso con oto
HUANCAVELICA,HUANCAVELICA,LARIA,Lluvioso con oto
JUNIN,CONCEPCION,CHAMBARA,Lluvioso con oto
JUNIN,CONCEPCION,ACO,Lluvioso con oto
CUSCO,CUSCO,SAYLLA,Lluvioso con oto
LIMA,YAUYOS,MIRAFLORES,Lluvioso con oto
CUSCO,CUSCO,SAN JERONIMO,Lluvioso con oto
CUSCO,QUISPICANCHI,CCARHUAYO,Lluvioso con oto
JUNIN,JAUJA,PACCHA,Lluvioso con oto
JUNIN,CONCEPCION,HEROINAS TOLEDO,Lluvioso con oto
JUNIN,HUANCAYO,QUICHUAY,Lluvioso con oto
JUNIN,HUANCAYO,INGENIO,Lluvioso con oto
JUNIN,JAUJA,PARCO,Semiseco con oto o e invierno secos. Frso.
JUNIN,JUNIN,JUNIN,Lluvioso con oto
JUNIN,JUNIN,ONDORES,Lluvioso con oto
CUSCO,CUSCO,POROY,Lluvioso con oto
CUSCO,CUSCO,CUSCO,Lluvioso con oto
HUANCAVELICA,HUAYTARA,TAMBO,Semiseco con invierno seco. Frao.
CUSCO,PAUCARTAMBO,CAICAY,Lluvioso con oto
CUSCO,PAUCARTAMBO,HUANCARANI,Semiseco con oto o e invierno secos. Frso.
CUSCO,QUISPICANCHI,CCATCA,Lluvioso con oto
JUNIN,HUANCAYO,CHICCHE,Lluvioso con oto
LIMA,YAUYOS,ALIS,Lluvioso con oto
CUSCO,ANTA,PUCYURA,Lluvioso con oto
CUSCO,ANTA,CACHIMAYO,Lluvioso con oto
CUSCO,CALCA,SAN SALVADOR,Lluvioso con oto
CUSCO,CALCA,PISAC,Lluvioso con oto
CUSCO,ANTA,HUAROCONDO,Lluvioso con oto
CUSCO,URUBAMBA,MARAS,Semiseco con oto
CUSCO,CALCA,LAMAY,Lluvioso con oto
CUSCO,URUBAMBA,HUAYLLABAMBA,Semiseco con oto
CUSCO,PAUCARTAMBO,COLQUEPATA,Semiseco con oto o e invierno secos. Frso.
CUSCO,URUBAMBA,YUCAY,Semiseco con oto
CUSCO,QUISPICANCHI,MARCAPATA,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
CUSCO,CALCA,TARAY,Lluvioso con oto
CUSCO,ANTA,ZURITE,Lluvioso con oto
CUSCO,ANTA,ANTA,Lluvioso con oto
CUSCO,ANTA,ANCAHUASI,Lluvioso con oto
CUSCO,URUBAMBA,CHINCHERO,Lluvioso con oto
CUSCO,CALCA,COYA,Lluvioso con oto
CUSCO,PAUCARTAMBO,PAUCARTAMBO,Lluvioso con oto
CUSCO,PAUCARTAMBO,CHALLABAMBA,Lluvioso con oto
HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,Lluvioso con oto
HUANCAVELICA,TAYACAJA,ACRAQUIA,Lluvioso con oto
JUNIN,HUANCAYO,HUASICANCHA,Lluvioso con oto
JUNIN,HUANCAYO,CHACAPAMPA,Lluvioso con oto
JUNIN,HUANCAYO,CHONGOS ALTO,Lluvioso con oto
JUNIN,CHUPACA,SAN JUAN DE JARPA,Lluvioso con oto
LIMA,YAUYOS,TOMAS,Lluvioso con oto
JUNIN,CONCEPCION,SAN JOSE DE QUERO,Lluvioso con oto
LIMA,YAUYOS,HUANCAYA,Lluvioso con oto
LIMA,YAUYOS,TANTA,Lluvioso con oto
JUNIN,YAULI,SUITUCANCHA,Lluvioso con oto
JUNIN,JAUJA,MASMA,Semiseco con oto o e invierno secos. Frso.
JUNIN,JAUJA,CANCHAYLLO,Lluvioso con oto
JUNIN,JAUJA,JANJAILLO,Lluvioso con oto
JUNIN,JAUJA,MASMA CHICCHE,Lluvioso con oto
JUNIN,JAUJA,JULCAN,Semiseco con oto o e invierno secos. Frso.
JUNIN,JAUJA,CURICACA,Lluvioso con oto
LIMA,HUAROCHIRI,HUANZA,Lluvioso con humedad abundante todas las estaciones del a
JUNIN,YAULI,LA OROYA,Lluvioso con oto
JUNIN,TARMA,HUARICOLCA,Lluvioso con oto
JUNIN,YAULI,MOROCOCHA,Lluvioso con oto
JUNIN,YAULI,PACCHA,Lluvioso con oto
JUNIN,JAUJA,TUNAN MARCA,Semiseco con oto숬o e invierno secos. Fr⤪o.
JUNIN,YAULI,CHACAPALPA,Lluvioso con oto
JUNIN,YAULI,HUAY-HUAY,Lluvioso con oto
JUNIN,YAULI,YAULI,Lluvioso con oto
HUANUCO,LAURICOCHA,JESUS,Lluvioso con oto
HUANUCO,LAURICOCHA,BAÑOS,Lluvioso con oto
HUANCAVELICA,HUAYTARA,PILPICHACA,Lluvioso con oto
AYACUCHO,PARINACOCHAS,CORACORA,Semiseco con invierno seco. Frao.
AYACUCHO,LUCANAS,LUCANAS,Semiseco con invierno seco. Frao.
CUSCO,LA CONVENCION,VILLA VIRGEN,Lluvioso con invierno seco. Templado.
APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,Lluvioso con oto
PUNO,SAN ROMAN,SAN MIGUEL,Semiseco con oto숬o e invierno secos. Fr⤪o.
CUSCO,CUSCO,WANCHAQ,Semiseco con oto
AREQUIPA,CAYLLOMA,SAN ANTONIO DE CHUCA,Semiseco con invierno seco. Semifrsgido.
AREQUIPA,CAYLLOMA,COPORAQUE,Semiseco con invierno seco. Frao.
AREQUIPA,CAYLLOMA,ICHUPAMPA,Semiseco con invierno seco. Frao.
AREQUIPA,CAYLLOMA,MADRIGAL,Semiseco con invierno seco. Frao.
AREQUIPA,CAYLLOMA,TUTI,Lluvioso con humedad abundante todas las estaciones del a
AREQUIPA,CAYLLOMA,LARI,Lluvioso con humedad abundante todas las estaciones del a
AREQUIPA,CAYLLOMA,TAPAY,Lluvioso con invierno seco. Semifr gido.
PUNO,LAMPA,PARATIA,Lluvioso con humedad abundante todas las estaciones del a
AREQUIPA,CASTILLA,CHOCO,Semiseco con invierno seco. Frao.
AREQUIPA,CONDESUYOS,SALAMANCA,Semiseco con invierno seco. Frao.
AREQUIPA,LA UNION,COTAHUASI,Semiseco con invierno seco. Frao.
AREQUIPA,LA UNION,TOMEPAMPA,Lluvioso con invierno seco. Freo.
AREQUIPA,LA UNION,CHARCANA,Semiseco con invierno seco. Frao.
AREQUIPA,LA UNION,ALCA,Lluvioso con invierno seco. Freo.
ICA,CHINCHA,SAN PEDRO DE HUACARPANA,Semiseco con invierno seco. Frao.
AYACUCHO,PAUCAR DEL SARA SARA,OYOLO,Lluvioso con invierno seco. Freo.
AYACUCHO,PAUCAR DEL SARA SARA,COLTA,Semiseco con invierno seco. Frao.
AYACUCHO,LUCANAS,PUQUIO,Semiseco con invierno seco. Frao.
HUANUCO,LEONCIO PRADO,LUYANDO,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
HUANUCO,LEONCIO PRADO,CASTILLO GRANDE,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
PUNO,CHUCUITO,KELLUYO,Semiseco con oto o e invierno secos. Frso.
PUNO,EL COLLAO,SANTA ROSA,Semiseco con invierno seco. Semifrsgido.
PUNO,EL COLLAO,CONDURIRI,Semiseco con oto o e invierno secos. Frso.
PUNO,YUNGUYO,UNICACHI,Semiseco con oto o e invierno secos. Frso.
PUNO,YUNGUYO,TINICACHI,Semiseco con oto o e invierno secos. Frso.
PUNO,PUNO,ATUNCOLLA,Semiseco con oto o e invierno secos. Frso.
PUNO,PUNO,HUATA,Semiseco con oto o e invierno secos. Frso.
PUNO,SAN ROMAN,CARACOTO,Semiseco con oto o e invierno secos. Frso.
PUNO,AZANGARO,CAMINACA,Semiseco con oto o e invierno secos. Frso.
PUNO,LAMPA,NICASIO,Semiseco con oto o e invierno secos. Frso.
PUNO,AZANGARO,ACHAYA,Semiseco con oto o e invierno secos. Frso.
JUNIN,JAUJA,MARCO,Semiseco con oto o e invierno secos. Frso.
MOQUEGUA,MARISCAL NIETO,TORATA,Semi rido con invierno y primavera secos. Frmo.
MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,Semiseco con invierno seco. Frao.
MOQUEGUA,GENERAL SANCHEZ CERRO,QUINISTAQUILLAS,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
MOQUEGUA,MARISCAL NIETO,SAN CRISTOBAL,Semiseco con invierno seco. Frao.
MOQUEGUA,GENERAL SANCHEZ CERRO,OMATE,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,POLOBAYA,Semi rido con invierno y primavera secos. Frmo.
MOQUEGUA,MARISCAL NIETO,CARUMAS,Semiseco con invierno seco. Semifrsgido.
MOQUEGUA,GENERAL SANCHEZ CERRO,PUQUINA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
MOQUEGUA,GENERAL SANCHEZ CERRO,COALAQUE,Semiseco con invierno seco. Frao.
AREQUIPA,AREQUIPA,POCSI,Semi rido con invierno y primavera secos. Frmo.
AREQUIPA,AREQUIPA,CHARACATO,Semi rido con invierno y primavera secos. Frmo.
MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,Semiseco con invierno seco. Frao.
MOQUEGUA,GENERAL SANCHEZ CERRO,CHOJATA,Semiseco con invierno seco. Frao.
AREQUIPA,AREQUIPA,CHIGUATA,Semi rido con invierno y primavera secos. Frmo.
AREQUIPA,AREQUIPA,CERRO COLORADO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,Semiseco con invierno seco. Frao.
AREQUIPA,AREQUIPA,YURA,Semiseco con invierno seco. Semifrsgido.
AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,Semiseco con invierno seco. Semifrsgido.
AREQUIPA,CAYLLOMA,HUANCA,Semi rido con invierno y primavera secos. Frmo.
AREQUIPA,CAYLLOMA,LLUTA,Semi rido con invierno y primavera secos. Frmo.
AREQUIPA,CAYLLOMA,ACHOMA,Semiseco con invierno seco. Frao.
AREQUIPA,CASTILLA,UÑON,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CAYLLOMA,MACA,Semiseco con invierno seco. Frao.
AREQUIPA,CAYLLOMA,YANQUE,Semiseco con invierno seco. Semifrsgido.
AREQUIPA,CONDESUYOS,CHUQUIBAMBA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CAYLLOMA,HUAMBO,Semi)rido con invierno seco. Frro.
AREQUIPA,CAYLLOMA,CABANACONDE,Semiseco con invierno seco. Frao.
AREQUIPA,CASTILLA,PAMPACOLCA,Semi rido con invierno y primavera secos. Frmo.
AREQUIPA,CASTILLA,VIRACO,Semiseco con invierno seco. Frao.
AREQUIPA,CONDESUYOS,ANDARAY,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CASTILLA,AYO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CAYLLOMA,CHIVAY,Semiseco con invierno seco. Frao.
AREQUIPA,CONDESUYOS,YANAQUIHUA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CASTILLA,MACHAGUAY,Semiseco con invierno seco. Frao.
AREQUIPA,CONDESUYOS,CHICHAS,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CARAVELI,HUANUHUANU,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CASTILLA,ANDAGUA,Semiseco con invierno seco. Frao.
AREQUIPA,CARAVELI,CAHUACHO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CARAVELI,QUICACHA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CASTILLA,CHILCAYMARCA,Semiseco con invierno seco. Frao.
HUANCAVELICA,CASTROVIRREYNA,SAN JUAN,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
HUANCAVELICA,HUAYTARA,AYAVI,Semiseco con invierno seco. Frao.
AREQUIPA,LA UNION,TAURIA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,LA UNION,SAYLA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,LA UNION,QUECHUALLA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,LA UNION,TORO,Semiseco con invierno seco. Frao.
HUANCAVELICA,CASTROVIRREYNA,HUAMATAMBO,Semiseco con invierno seco. Frao.
ICA,CHINCHA,SAN JUAN DE YANAC,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
HUANCAVELICA,CASTROVIRREYNA,TANTARA,Semiseco con invierno seco. Frao.
AYACUCHO,LUCANAS,SAN PEDRO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AYACUCHO,LUCANAS,SANCOS,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AYACUCHO,LUCANAS,CHAVIÑA,Semiseco con invierno seco. Frao.
AYACUCHO,LUCANAS,SAN JUAN,Semiseco con invierno seco. Frao.
AYACUCHO,PAUCAR DEL SARA SARA,CORCULLA,Semiseco con invierno seco. Frao.
AYACUCHO,PAUCAR DEL SARA SARA,SARA SARA,Semi rido con invierno y primavera secos. Frmo.
AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AYACUCHO,PAUCAR DEL SARA SARA,SAN JOSE DE USHUA,Semiseco con invierno seco. Frao.
AYACUCHO,PAUCAR DEL SARA SARA,PARARCA,Semi rido con invierno y primavera secos. Frmo.
AYACUCHO,PARINACOCHAS,PULLO,Semi)rido con invierno seco. Frro.
AYACUCHO,PARINACOCHAS,PUYUSCA,Semi)rido con invierno seco. Frro.
AYACUCHO,PAUCAR DEL SARA SARA,LAMPA,Semiseco con invierno seco. Frao.
AYACUCHO,PARINACOCHAS,CHUMPI,Semiseco con invierno seco. Frao.
PUNO,EL COLLAO,CAPAZO,Semiseco con invierno seco. Semifrsgido.
TACNA,TARATA,SUSAPAYA,Semiseco con invierno seco. Semifrsgido.
TACNA,CANDARAVE,CANDARAVE,Semiseco con invierno seco. Semifrsgido.
TACNA,TACNA,PACHIA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
TACNA,TARATA,ESTIQUE,Semi rido con invierno y primavera secos. Frmo.
TACNA,TARATA,TARUCACHI,Semi rido con invierno y primavera secos. Frmo.
TACNA,TARATA,SITAJARA,Semi rido con invierno y primavera secos. Frmo.
TACNA,TARATA,TICACO,Semiseco con invierno seco. Semifrsgido.
TACNA,CANDARAVE,CAIRANI,Semi rido con invierno y primavera secos. Frmo.
TACNA,CANDARAVE,CAMILACA,Semi rido con invierno y primavera secos. Frmo.
AREQUIPA,AREQUIPA,MIRAFLORES,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,CAYMA,Semiseco con invierno seco. Semifrsgido.
ANCASH,CASMA,CASMA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CASTILLA,HUANCARQUI,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CARAVELI,CHAPARRA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
CUSCO,LA CONVENCION,VILLA KINTIARINA,Lluvioso con invierno seco. Templado.
LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LA LIBERTAD,ASCOPE,MAGDALENA DE CAO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LA LIBERTAD,ASCOPE,CHOCOPE,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LA LIBERTAD,ASCOPE,PAIJAN,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LA LIBERTAD,ASCOPE,RAZURI,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
TACNA,TACNA,POCOLLAY,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
TACNA,TACNA,CALANA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
TACNA,TACNA,SAMA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
TACNA,TACNA,CIUDAD NUEVA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
TACNA,JORGE BASADRE,ITE,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
MOQUEGUA,ILO,ILO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
TACNA,TACNA,ALTO DE LA ALIANZA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
TACNA,TARATA,ESTIQUE-PAMPA,Semi rido con invierno y primavera secos. Frmo.
TACNA,TACNA,INCLAN,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
TACNA,JORGE BASADRE,LOCUMBA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
MOQUEGUA,ILO,EL ALGARROBAL,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
TACNA,TARATA,HEROES ALBARRACIN,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
TACNA,CANDARAVE,CURIBAYA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
TACNA,CANDARAVE,QUILAHUANI,Semi rido con invierno y primavera secos. Frmo.
MOQUEGUA,ILO,PACOCHA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
TACNA,CANDARAVE,HUANUARA,Semi rido con invierno y primavera secos. Frmo.
TACNA,JORGE BASADRE,ILABAYA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
MOQUEGUA,MARISCAL NIETO,SAMEGUA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,ISLAY,PUNTA DE BOMBON,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,ISLAY,DEAN VALDIVIA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,ISLAY,MEJIA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,ISLAY,ISLAY,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,ISLAY,COCACHACRA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,ISLAY,MOLLENDO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
MOQUEGUA,GENERAL SANCHEZ CERRO,LA CAPILLA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CAMANA,CAMANA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CAMANA,JOSE MARIA QUIMPER,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CAMANA,SAMUEL PASTOR,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,QUEQUEÑA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,YARABAMBA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,MOLLEBAYA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CAMANA,QUILCA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,SOCABAYA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,JACOBO HUNTER,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,SABANDIA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,TIABAYA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,SACHACA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,LA JOYA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,PAUCARPATA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,SANTA RITA DE SIGUAS,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,AREQUIPA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,YANAHUARA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,UCHUMAYO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CAMANA,NICOLAS DE PIEROLA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,SAN JUAN DE SIGUAS,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,MARIANO MELGAR,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CAMANA,MARISCAL CACERES,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,VITOR,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,AREQUIPA,SANTA ISABEL DE SIGUAS,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CASTILLA,URACA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CAYLLOMA,MAJES,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CAMANA,OCOÑA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CONDESUYOS,IRAY,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CASTILLA,APLAO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CARAVELI,ATICO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CASTILLA,TIPAN,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CARAVELI,CARAVELI,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CONDESUYOS,RIO GRANDE,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CARAVELI,CHALA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CARAVELI,YAUCA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
AREQUIPA,CARAVELI,ATIQUIPA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,SANTA,COISHCO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,SANTA,SANTA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
LAMBAYEQUE,CHICLAYO,ETEN PUERTO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ICA,PISCO,SAN CLEMENTE,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ICA,PISCO,INDEPENDENCIA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ICA,NASCA,VISTA ALEGRE,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ICA,NASCA,CHANGUILLO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
